FlowId,Source,SrcPort,Destination,DstPort,TxPackets,RxPackets,LostPackets,PDR(%),AvgDelay(ms),Jitter(ms),Throughput(Mbps)
293,10.1.0.10,49162,10.1.0.11,10179,1472,478,923,32.4728,468.6737,34.9438,0.0221
294,10.1.0.10,49163,10.1.0.12,10180,1472,539,857,36.6168,474.1660,37.7661,0.0249
295,10.1.0.10,49164,10.1.0.13,10181,1471,432,976,29.3678,489.8805,48.3995,0.0198
296,10.1.0.10,49165,10.1.0.14,10182,1471,513,878,34.8742,464.7789,27.2405,0.0237
297,10.1.0.10,49166,10.1.0.15,10183,1470,515,878,35.0340,481.3479,38.3101,0.0238
298,10.1.0.10,49167,10.1.0.16,10184,1470,482,928,32.7891,473.2468,32.8959,0.0223
299,10.1.0.10,49168,10.1.0.17,10185,1470,441,973,30.0000,473.2717,39.6027,0.0204
300,10.1.0.10,49169,10.1.0.18,10186,1469,528,873,35.9428,486.8119,43.9592,0.0244
301,10.1.0.10,49170,10.1.0.19,10187,1469,367,1031,24.9830,488.0654,49.0639,0.0170
302,10.1.0.10,49171,10.1.0.20,10188,1468,444,950,30.2452,476.7106,37.2191,0.0206
303,10.1.0.11,49153,10.1.0.1,10189,1468,577,825,39.3052,479.6749,68.2229,0.0266
304,10.1.0.11,49154,10.1.0.2,10190,1468,478,908,32.5613,467.2649,72.0411,0.0220
305,10.1.0.11,49155,10.1.0.3,10191,1467,528,868,35.9918,478.9401,60.4724,0.0244
306,10.1.0.11,49156,10.1.0.4,10192,1467,488,909,33.2652,465.3535,63.1299,0.0225
307,10.1.0.11,49157,10.1.0.5,10193,1466,488,908,33.2879,488.5519,52.4105,0.0225
313,10.1.0.11,49158,10.1.0.6,10194,1466,482,924,32.8786,497.7930,83.9497,0.0226
314,10.1.0.11,49159,10.1.0.7,10195,1466,12,1301,0.8186,937.1814,35.4452,0.0008
315,10.1.0.11,49160,10.1.0.8,10196,1465,8,1302,0.5461,927.5892,78.0407,0.0005
318,10.1.0.11,49161,10.1.0.9,10197,1465,499,887,34.0614,482.3031,66.7241,0.0230
323,10.1.0.11,49162,10.1.0.10,10198,1464,7,1301,0.4781,924.5994,83.0308,0.0004
330,10.1.0.11,49163,10.1.0.12,10199,1464,462,918,31.5574,475.9821,68.8853,0.0213
334,10.1.0.11,49164,10.1.0.13,10200,1463,530,859,36.2269,481.6584,68.0181,0.0245
336,10.1.0.11,49165,10.1.0.14,10201,1463,549,835,37.5256,479.8776,61.0037,0.0254
337,10.1.0.11,49166,10.1.0.15,10202,1463,482,893,32.9460,490.6628,64.9730,0.0223
339,10.1.0.11,49167,10.1.0.16,10203,1462,631,753,43.1601,455.6408,49.7708,0.0292
342,10.1.0.11,49168,10.1.0.17,10204,1462,472,917,32.2845,469.7499,66.8399,0.0220
345,10.1.0.11,49169,10.1.0.18,10205,1461,6,1311,0.4107,929.5052,40.3681,0.0003
354,10.1.0.11,49170,10.1.0.19,10206,1461,509,900,34.8392,477.9238,63.5274,0.0238
356,10.1.0.11,49171,10.1.0.20,10207,1461,5,1315,0.3422,979.5525,10.5117,0.0003
359,10.1.0.12,49153,10.1.0.1,10208,1460,477,909,32.6712,511.3383,68.5055,0.0222
363,10.1.0.12,49154,10.1.0.2,10209,1460,474,927,32.4658,470.7384,55.1473,0.0220
365,10.1.0.12,49155,10.1.0.3,10210,1459,5,1306,0.3427,877.2968,91.1353,0.0002
373,10.1.0.12,49156,10.1.0.4,10211,1459,11,1300,0.7539,772.8038,111.5950,0.0005
374,10.1.0.12,49157,10.1.0.5,10212,1459,455,933,31.1857,481.4582,44.3831,0.0211
390,10.1.0.12,49158,10.1.0.6,10213,1458,1,1301,0.0686,945.3152,0.0000,0.0001
395,10.1.0.12,49159,10.1.0.7,10214,1458,443,951,30.3841,483.8026,55.2514,0.0206
412,10.1.0.12,49160,10.1.0.8,10215,1457,481,907,33.0130,470.5528,40.3050,0.0224
419,10.1.0.12,49161,10.1.0.9,10216,1457,468,911,32.1208,486.1545,61.2284,0.0217
420,10.1.0.12,49162,10.1.0.10,10217,1456,5,1296,0.3434,965.7296,40.0377,0.0002
429,10.1.0.12,49163,10.1.0.11,10218,1456,499,897,34.2720,485.0812,50.8558,0.0232
431,10.1.0.12,49164,10.1.0.13,10219,1456,397,990,27.2665,490.9686,57.5323,0.0185
433,10.1.0.12,49165,10.1.0.14,10220,1455,481,905,33.0584,491.8562,61.1605,0.0224
434,10.1.0.12,49166,10.1.0.15,10221,1455,474,913,32.5773,483.9754,53.3343,0.0221
435,10.1.0.12,49167,10.1.0.16,10222,1454,460,940,31.6369,483.7387,57.0512,0.0214
436,10.1.0.12,49168,10.1.0.17,10223,1454,437,952,30.0550,477.4046,49.2176,0.0204
437,10.1.0.12,49169,10.1.0.18,10224,1454,415,958,28.5420,507.8013,58.9596,0.0193
439,10.1.0.12,49170,10.1.0.19,10225,1453,459,928,31.5898,459.2181,44.4304,0.0214
440,10.1.0.12,49171,10.1.0.20,10226,1453,391,991,26.9098,476.4495,60.4009,0.0183
441,10.1.0.13,49153,10.1.0.1,10227,1452,411,937,28.3058,472.4420,52.2966,0.0191
442,10.1.0.13,49154,10.1.0.2,10228,1452,491,888,33.8154,474.3015,50.7952,0.0228
443,10.1.0.13,49155,10.1.0.3,10229,1452,486,890,33.4711,468.5186,44.3911,0.0227
445,10.1.0.13,49156,10.1.0.4,10230,1451,493,860,33.9766,479.0164,40.4409,0.0230
446,10.1.0.13,49157,10.1.0.5,10231,1451,461,907,31.7712,493.4309,52.8979,0.0216
447,10.1.0.13,49158,10.1.0.6,10232,1450,0,1294,0.0000,0.0000,0.0000,0.0000
448,10.1.0.13,49159,10.1.0.7,10233,1450,480,886,33.1034,498.7434,52.1715,0.0224
452,10.1.0.13,49160,10.1.0.8,10234,1449,451,907,31.1249,492.1956,54.1439,0.0211
467,10.1.0.13,49161,10.1.0.9,10235,1449,12,1285,0.8282,951.9558,47.1022,0.0006
482,10.1.0.13,49162,10.1.0.10,10236,1449,495,878,34.1615,475.8045,37.7021,0.0231
485,10.1.0.13,49163,10.1.0.11,10237,1448,413,967,28.5221,490.6995,57.7533,0.0194
486,10.1.0.13,49164,10.1.0.12,10238,1448,487,893,33.6326,471.6860,42.1717,0.0229
487,10.1.0.13,49165,10.1.0.14,10239,1447,510,848,35.2453,498.7552,52.5240,0.0239
488,10.1.0.13,49166,10.1.0.15,10240,1447,499,880,34.4851,472.0676,44.6046,0.0233
490,10.1.0.13,49167,10.1.0.16,10241,1447,487,867,33.6558,477.7968,39.1187,0.0233
491,10.1.0.13,49168,10.1.0.17,10242,1446,5,1295,0.3458,907.9291,60.0813,0.0003
500,10.1.0.13,49169,10.1.0.18,10243,1446,456,912,31.5353,481.4862,47.2204,0.0213
509,10.1.0.13,49170,10.1.0.19,10244,1445,410,971,28.3737,508.7553,69.6251,0.0195
514,10.1.0.13,49171,10.1.0.20,10245,1445,444,911,30.7266,496.7369,55.7145,0.0211
515,10.1.0.14,49153,10.1.0.1,10246,1445,621,772,42.9758,480.1630,53.6079,0.0291
516,10.1.0.14,49154,10.1.0.2,10247,1444,570,823,39.4737,486.6965,66.5967,0.0267
518,10.1.0.14,49155,10.1.0.3,10248,1444,561,820,38.8504,482.5586,62.7034,0.0263
519,10.1.0.14,49156,10.1.0.4,10249,1443,574,811,39.7782,489.1629,64.0018,0.0269
520,10.1.0.14,49157,10.1.0.5,10250,1443,569,825,39.4317,464.0358,50.7443,0.0266
522,10.1.0.14,49158,10.1.0.6,10251,1442,6,1280,0.4161,909.5276,63.7772,0.0003
524,10.1.0.14,49159,10.1.0.7,10252,1442,3,1290,0.2080,944.5973,87.0476,0.0002
526,10.1.0.14,49160,10.1.0.8,10253,1442,550,846,38.1415,498.2140,60.4545,0.0258
527,10.1.0.14,49161,10.1.0.9,10254,1441,584,799,40.5274,476.0353,48.1304,0.0274
530,10.1.0.14,49162,10.1.0.10,10255,1441,8,1277,0.5552,963.2315,26.0143,0.0004
532,10.1.0.14,49163,10.1.0.11,10256,1440,576,825,40.0000,495.9832,70.6864,0.0270
533,10.1.0.14,49164,10.1.0.12,10257,1440,537,832,37.2917,476.7194,47.1193,0.0252
534,10.1.0.14,49165,10.1.0.13,10258,1440,3,1283,0.2083,924.1496,66.2493,0.0002
538,10.1.0.14,49166,10.1.0.15,10259,1439,516,868,35.8582,463.8996,51.0621,0.0244
539,10.1.0.14,49167,10.1.0.16,10260,1439,641,746,44.5448,472.4068,55.8034,0.0301
540,10.1.0.14,49168,10.1.0.17,10261,1438,568,811,39.4993,481.3483,52.3119,0.0267
541,10.1.0.14,49169,10.1.0.18,10262,1438,627,754,43.6022,489.2501,58.8520,0.0295
543,10.1.0.14,49170,10.1.0.19,10263,1438,549,824,38.1780,490.9017,62.5773,0.0258
545,10.1.0.14,49171,10.1.0.20,10264,1437,456,910,31.7328,493.7222,65.2903,0.0215
546,10.1.0.15,49153,10.1.0.1,10265,1437,509,853,35.4210,470.9589,49.7939,0.0239
